run_idx,mode,fiber_vf,f_r,mu,sigma,db_t,crc_no,debond_fraction,base_angle,P_eff
0,debond,0.2895730721218126,0.49741174821158674,0.32414321181340616,2.2319114379869625,0.05941300419396826,0,0.5079516041323486,2.8579196017111554,0.152492872953488
1,cracks,0.10749913168839698,0.5168228418311929,0.33492771178730946,1.1360695200157975,0.09245191891425139,15,0.0,1.7764251716221886,0.08632866681302158
2,cracks,0.2261251831463474,0.5914984522302036,0.3309310241680702,1.8783121339605802,0.05495893133897715,5,0.0,0.14634380721326276,0.06936029804623606
3,cracks,0.15792185726633526,0.37212754167871875,0.35889611903918417,1.4627227361529016,0.13161263591200312,4,0.0,0.3237590691232488,0.08002468749641567
4,cracks,0.17447950854514624,0.573872232854779,0.33139448748666156,1.0894017549493489,0.07059587128193265,12,0.0,1.6704484204212646,0.07594898081431385
5,debond,0.1931203731679348,0.7617206918194308,0.48079117797228316,1.372639877286324,0.06797667495831432,0,0.6458807414089707,0.2571551005755037,0.1423103220243359
6,debond,0.20503930076229027,0.7375687477867144,0.6647226447196088,1.4319066473352797,0.1480174847492582,0,0.18264604477847352,1.313571585218704,0.0956297606461064
7,debond,0.13039690693210096,0.5444815502379028,0.3196036285237188,2.0023237848015927,0.1264570866212813,0,0.5011181581941688,2.7503946620287856,0.13430430052770398
8,debond,0.1680244724382391,0.47508919385958415,0.5483373976494939,2.1953379637323915,0.05687629494068606,0,0.16551719726083253,0.8480392499410339,0.09505754900170406
9,baseline,0.11213388551944395,0.6507460106522119,0.6235644272638343,2.489643909199951,0.1321924786609715,0,0.0,0.8940832328714574,0.08377033061704564
10,mixed,0.27740805844761834,0.4735026278442253,0.7703242833230468,1.533196164310519,0.11109195434830768,9,0.1412680935319173,2.4134751128306036,0.09521918920359737
11,cracks,0.24767267591895883,0.49894883927311634,0.7584081130900306,1.7447600485449428,0.06663662824719205,8,0.0,1.7261163821559513,0.07124739457410705
12,cracks,0.26385596756714824,0.7319922348492576,0.43921053225694856,1.622944775817548,0.08587711653316248,8,0.0,3.0088013144869827,0.06440240198177948
13,cracks,0.11659693893226641,0.3756491915582003,0.6292583384861651,1.0180945897656983,0.13310935615682862,4,0.0,0.8254428489438409,0.0849094858320717
14,baseline,0.12913527849159612,0.5672954811500518,0.6049062176284985,1.4779175216678297,0.0625491512495977,0,0.0,2.699262531573042,0.08241254532462261
15,baseline,0.19132874444057496,0.7354897505788858,0.775943110415761,2.020862651592565,0.10592717408566094,0,0.0,1.2505726269708357,0.07328168891113909
16,mixed,0.12070741874206486,0.6171447828428545,0.3311239108093438,1.1010214237645373,0.07087631854461644,4,0.17694981350032654,1.8872403484120002,0.09714060654505907
17,baseline,0.10004665638027133,0.37563246613971396,0.35073218401129824,1.5454148830518566,0.05255008866661457,0,0.0,2.74679617355329,0.08693518044224721
18,mixed,0.12971009706617828,0.4261288782785386,0.47369477302685076,1.5462451592924236,0.062284223076219496,15,0.4416476413247876,3.0719215537756486,0.1255548577783432
19,mixed,0.1967669312832539,0.3429423307780828,0.3510938083740842,1.5139537573645028,0.07647568917171801,15,0.5844397381917166,1.622112731566849,0.1832762553205647
20,cracks,0.2901971145749404,0.5641286975210624,0.37330126944954534,1.8147586388231716,0.05270424914221686,10,0.0,0.9364763813027294,0.06211950976412133
21,baseline,0.23923935718156036,0.43055759861468096,0.4833498958805894,1.2505630518015045,0.1271937908402031,0,0.0,1.6731883633214037,0.06929629639672569
22,debond,0.22728838506794224,0.6066141114067705,0.6941996320520567,2.1374836361329494,0.06951460302328957,0,0.26757137233639555,1.258787072108605,0.10695414444402372
23,cracks,0.13998359667902993,0.5463909214569722,0.6655019962377107,2.4844053800546053,0.12901141366319246,9,0.0,0.8142202756407964,0.12745390471871842
24,debond,0.1894455355533447,0.7685106006381212,0.7940190291014301,2.4325009469819996,0.0864635885361866,0,0.25432362609736625,0.7126571827547581,0.1010255233954364
25,cracks,0.16754749596770607,0.5413266510667889,0.7926244985323709,1.9153932203401125,0.05019083133300648,12,0.0,1.080729556034474,0.09718456603463455
26,baseline,0.26692976155964376,0.3599518154180688,0.4942678719099718,2.0672394754380785,0.06993194034549052,0,0.0,2.792910440405893,0.06671300416519176
27,mixed,0.25782708620405526,0.46625859993230495,0.7004117844483455,2.4574859334732375,0.08958384950694481,8,0.6203468975630246,0.2667816902240934,0.20544673066058297
28,cracks,0.1340007319943791,0.36351918364893215,0.3755753501907449,2.357278143599859,0.1306501982032196,4,0.0,1.9213143033292048,0.08347970375401535
29,mixed,0.23145365854720398,0.4752037560787514,0.5743300219933896,1.1964757780141757,0.05142429381561056,13,0.5547722687716815,1.6543031490860136,0.1210906248997459
30,cracks,0.18676188735149712,0.735871463994702,0.7130776259076106,1.3165635059922232,0.07518348113654538,6,0.0,1.5744466056165147,0.07391890871985987
31,debond,0.15187295905404202,0.5095062763772717,0.36553683825174166,2.3650255844733348,0.08537840239532589,0,0.42071269053021354,1.8326442167273027,0.12478925628626315
32,mixed,0.26542793649095453,0.7390843901844655,0.3653816295110619,1.227754576394408,0.1010547012230045,15,0.4080874386694604,0.5752503934686876,0.12809081209942796
33,baseline,0.25520779311533337,0.37490124245117123,0.37077948552926226,1.9286518587752424,0.062033661124464595,0,0.0,0.19400995626040357,0.06736794315698966
34,mixed,0.2568544950730951,0.3530547085524641,0.5801480667919761,1.372741481564635,0.07769170704647815,14,0.16842169132381524,1.4205525700070396,0.10403299297109506
35,baseline,0.2519986285180033,0.7562440181649059,0.5216241967887194,1.9187918265166906,0.10055531308512217,0,0.0,1.6090027192545306,0.06498144719403647
36,debond,0.19046915845298193,0.5666427187895855,0.5390181590160423,2.412251691307751,0.11992178821802858,0,0.7135748372464153,2.9599476145694226,0.18545707018161509
37,debond,0.28455684268402126,0.7463774708780163,0.40129426360130227,1.6712923326023046,0.09166370564820017,0,0.3746550650111039,0.9926798001676219,0.12298776210814949
38,cracks,0.18566773544716947,0.406344899793983,0.45139003762578966,1.183524830978659,0.12769325908604756,13,0.0,2.0214829218743704,0.0773520002103453
39,debond,0.12859579958484743,0.7414164168285378,0.783772391333192,1.3293817462028796,0.1452504128918986,0,0.37877981230209035,1.5307748710938183,0.1161666330072569
40,cracks,0.13229321197617583,0.5157609089988194,0.5578025289021795,1.5086742165082299,0.06957446661339312,7,0.0,0.2896360751904168,0.08330522954835014
41,debond,0.10389658561047864,0.5770251239041639,0.520229050901351,1.0271229712405563,0.08314978891419907,0,0.5367489517243048,1.6093194295815167,0.12142554980097547
42,baseline,0.12256999162596947,0.7592740751369411,0.4142769268590806,2.314588369109998,0.05840612669703682,0,0.0,0.8542633125139169,0.08326358435778583
43,cracks,0.15408921950426183,0.36477777965283864,0.5111270906388306,2.3671207242754133,0.13189789797812818,6,0.0,1.275322713920409,0.09898025755801733
44,mixed,0.24008348930932358,0.34473110392340384,0.32876325622047314,2.0323083570228224,0.09253170407957226,3,0.28824639660749435,0.05287841767642626,0.1303215423797393
45,baseline,0.260325718314278,0.341871263117259,0.7281143181860744,1.0999338023116922,0.1362774969053846,0,0.0,1.4255715598821148,0.06744677599950094
46,debond,0.2988611780897738,0.5088801671813028,0.7577133516515037,1.9325551814871818,0.054320568983938555,0,0.5966757026829221,2.9472094878610657,0.15155689392466368
47,cracks,0.15237905837652044,0.39057298377814975,0.7661234442591384,1.9430066455715007,0.10310858395658304,5,0.0,0.9109388281988079,0.08221790587845745
48,cracks,0.15410447321385295,0.7018394724211212,0.7972494924457697,1.055424027316415,0.05184338966986565,10,0.0,1.731171892327216,0.07975516459784436
49,cracks,0.20284698229247428,0.422839759791802,0.5235277746106735,1.9874804819254592,0.11501059936894295,12,0.0,1.555093306689833,0.07654233463537467
50,mixed,0.294062479595372,0.45389152499937163,0.4075905598045905,1.3443493732367227,0.0698624482991446,13,0.6101909193782796,0.43893959098806556,0.2143847615130242
51,debond,0.2963763863658734,0.7184941691525972,0.30712756466389746,1.9381724716077282,0.1379854271230056,0,0.4015184954872173,0.17404764929206096,0.1426700840257407
52,mixed,0.27410756424954963,0.6352716489543393,0.44096664115331474,1.36331940098873,0.07930584925803355,9,0.22974642001295875,0.8452037395345917,0.09886664810763261
53,baseline,0.15264861339947783,0.7808932666813067,0.7863114989731881,1.8206100611783627,0.07444464939418935,0,0.0,3.033731630632463,0.07938714393539387
54,debond,0.1435731714316963,0.39147894382875004,0.4676663919598855,1.1258358412382412,0.07789288722184598,0,0.5592125098458383,0.7796785634354214,0.14225087685397597
55,baseline,0.11817033926273686,0.7085221405690663,0.37193257063445134,1.8802010980434747,0.08939786406047205,0,0.0,0.9413658590619305,0.08318050234617694
56,cracks,0.11689654228923213,0.7788185899301974,0.7266237495487207,1.2328782117837331,0.13928011709153162,14,0.0,2.7617448647504683,0.08977704625562286
57,mixed,0.25286226917227317,0.6603386356857757,0.5470953768099216,1.426264867829037,0.11187071699143905,4,0.1306516466841101,2.6241394926439745,0.08617318996459555
58,mixed,0.24677042469539237,0.706109457856197,0.36965380500960215,1.785635926792776,0.10043710512554607,15,0.6690337744599159,0.05051605524202032,0.17784560972034366
59,cracks,0.11701834057444412,0.3209310506771996,0.6185599385228286,2.4392741073472406,0.08766182648824244,9,0.0,1.7546650944213638,0.09477215624641044
60,baseline,0.2252452917865572,0.6403320880404102,0.5446471574298772,1.004971490691772,0.12976975520708525,0,0.0,2.350744990030441,0.06942260239658864
61,baseline,0.23185989786086997,0.33302517811107596,0.6683941642711253,1.3782902971940352,0.05744499999741735,0,0.0,0.8342757599494313,0.07076654245962342
62,cracks,0.14614722540949074,0.6249661400010253,0.5301700319869398,2.268296875609761,0.05767398735807103,12,0.0,0.9026397833787145,0.1227482631803005
63,baseline,0.22339480315564994,0.6213814876909931,0.33873590975890033,1.2211376093153612,0.07539402816558953,0,0.0,2.3348858757348183,0.07109693266445216
64,debond,0.22423015023434412,0.36672050436015874,0.5412103491301127,1.7286970719930466,0.1472509009182465,0,0.16966335016883624,0.6839041764037801,0.1072753638186575
65,mixed,0.1581712956858738,0.5582678470222038,0.5323314266871572,1.699508731445332,0.0618502862701568,10,0.23947502090165212,3.0728726288829797,0.10315160355298084
66,mixed,0.10350089116333257,0.5294854114817986,0.7099488463499342,2.4521623774760495,0.09494509696510953,6,0.3707938428736184,2.8794417584620504,0.11215709622941548
67,cracks,0.11492257353882845,0.3451515471255059,0.6737430890055958,1.3927134530925043,0.08595535765037318,11,0.0,2.576787734896787,0.08728058242660637
68,debond,0.27737243192296857,0.6516685193970372,0.41569180152523494,2.346558543400599,0.09861406564271488,0,0.11738408216346564,0.011279799420546847,0.07965692703012858
69,mixed,0.23631762333327574,0.5027096647841894,0.6635913846668124,1.6242717915470912,0.08761061453527066,3,0.6881617235535908,0.005470712639122417,0.18381962379886416
70,debond,0.26782215893009237,0.36002067379609126,0.7631994299431932,2.0695353486953856,0.1401566563098936,0,0.30288307128286773,1.169369898676576,0.17249874072480084
71,mixed,0.17803221344767883,0.734985963959905,0.33820034623410294,2.388123233929866,0.12556563934322837,15,0.1337876677248358,0.31953094258875614,0.10875916380034825
72,debond,0.22699269940792005,0.37445719185965026,0.7855192984108925,1.6543611158910727,0.08156013726431804,0,0.6412285474042929,2.4665984589062377,0.21369185136021732
73,mixed,0.2768533111050894,0.7059811337353861,0.6154479019345405,2.370135831189078,0.14406992983382416,10,0.24240506964699032,0.25313978777769053,0.11210867311422554
74,mixed,0.1901720845921547,0.6763340046203603,0.6222453552092568,1.4293124804523782,0.054897690498758284,10,0.18911792426954177,1.483410060264957,0.10302615231934391
75,debond,0.15634920790459492,0.42787138945993963,0.6693726397167749,1.9792267373968182,0.0906209265112842,0,0.2670655169381604,1.517961098948665,0.11032279806354924
76,mixed,0.12394850428004929,0.6216025164785123,0.33758529651117514,1.750907189093082,0.13118265531739276,10,0.2540176765403915,2.847097842534776,0.1070599547132122
77,mixed,0.18548460474550138,0.5738926492348577,0.4220428164702449,1.2620426380107763,0.10558740875951522,7,0.267388606502218,0.8116542381148191,0.10823636576726406
